2023-07-21 10:57:20,951 DEBUG   HandlerThread:11872 [system_info.py:_save_conda():86] Saving conda packages done
2023-07-21 10:57:20,951 INFO    HandlerThread:11872 [system_monitor.py:probe():216] Finished publishing system info
2023-07-21 10:57:20,967 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: status_report
2023-07-21 10:57:20,967 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: keepalive
2023-07-21 10:57:20,967 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: status_report
2023-07-21 10:57:20,967 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: keepalive
2023-07-21 10:57:20,967 DEBUG   SenderThread:11872 [sender.py:send():369] send: files
2023-07-21 10:57:20,967 INFO    SenderThread:11872 [sender.py:_save_file():1354] saving file wandb-metadata.json with policy now
2023-07-21 10:57:20,967 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: stop_status
2023-07-21 10:57:20,967 DEBUG   SenderThread:11872 [sender.py:send_request():396] send_request: stop_status
2023-07-21 10:57:21,276 DEBUG   SenderThread:11872 [sender.py:send():369] send: telemetry
2023-07-21 10:57:21,623 INFO    Thread-16 :11872 [dir_watcher.py:_on_file_modified():289] file/dir modified: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105706-i277o5qn\files\conda-environment.yaml
2023-07-21 10:57:21,624 INFO    Thread-16 :11872 [dir_watcher.py:_on_file_created():272] file/dir created: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105706-i277o5qn\files\wandb-metadata.json
2023-07-21 10:57:21,966 INFO    wandb-upload_0:11872 [upload_job.py:push():133] Uploaded file C:\Users\soham\AppData\Local\Temp\tmp1xv6nldxwandb\bquc7563-wandb-metadata.json
2023-07-21 10:57:22,290 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: status_report
2023-07-21 10:57:27,342 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: status_report
2023-07-21 10:57:29,234 DEBUG   SenderThread:11872 [sender.py:send():369] send: exit
2023-07-21 10:57:29,234 INFO    SenderThread:11872 [sender.py:send_exit():574] handling exit code: 1
2023-07-21 10:57:29,234 INFO    SenderThread:11872 [sender.py:send_exit():576] handling runtime: 21
2023-07-21 10:57:29,237 INFO    SenderThread:11872 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-07-21 10:57:29,237 INFO    SenderThread:11872 [sender.py:send_exit():582] send defer
2023-07-21 10:57:29,237 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:57:29,238 INFO    HandlerThread:11872 [handler.py:handle_request_defer():170] handle defer: 0
2023-07-21 10:57:29,238 DEBUG   SenderThread:11872 [sender.py:send_request():396] send_request: defer
2023-07-21 10:57:29,238 INFO    SenderThread:11872 [sender.py:send_request_defer():598] handle sender defer: 0
2023-07-21 10:57:29,238 INFO    SenderThread:11872 [sender.py:transition_state():602] send defer: 1
2023-07-21 10:57:29,238 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:57:29,238 INFO    HandlerThread:11872 [handler.py:handle_request_defer():170] handle defer: 1
2023-07-21 10:57:29,239 DEBUG   SenderThread:11872 [sender.py:send_request():396] send_request: defer
2023-07-21 10:57:29,239 INFO    SenderThread:11872 [sender.py:send_request_defer():598] handle sender defer: 1
2023-07-21 10:57:29,239 INFO    SenderThread:11872 [sender.py:transition_state():602] send defer: 2
2023-07-21 10:57:29,239 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:57:29,239 INFO    HandlerThread:11872 [handler.py:handle_request_defer():170] handle defer: 2
