2023-07-21 11:10:10,199 DEBUG   SenderThread:12968 [sender.py:send_request():396] send_request: poll_exit
2023-07-21 11:10:10,199 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: defer
2023-07-21 11:10:10,199 INFO    HandlerThread:12968 [handler.py:handle_request_defer():170] handle defer: 8
2023-07-21 11:10:10,199 DEBUG   SenderThread:12968 [sender.py:send_request():396] send_request: defer
2023-07-21 11:10:10,199 INFO    SenderThread:12968 [sender.py:send_request_defer():598] handle sender defer: 8
2023-07-21 11:10:10,199 INFO    SenderThread:12968 [job_builder.py:build():240] Attempting to build job artifact
2023-07-21 11:10:10,199 INFO    SenderThread:12968 [job_builder.py:build():264] is repo sourced job
2023-07-21 11:10:10,215 INFO    SenderThread:12968 [job_builder.py:build():305] adding wandb-job metadata file
2023-07-21 11:10:10,231 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: poll_exit
2023-07-21 11:10:10,231 INFO    SenderThread:12968 [sender.py:transition_state():602] send defer: 9
2023-07-21 11:10:10,231 DEBUG   SenderThread:12968 [sender.py:send_request():396] send_request: poll_exit
2023-07-21 11:10:10,231 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: defer
2023-07-21 11:10:10,231 INFO    HandlerThread:12968 [handler.py:handle_request_defer():170] handle defer: 9
2023-07-21 11:10:10,231 DEBUG   SenderThread:12968 [sender.py:send():369] send: artifact
2023-07-21 11:10:11,188 INFO    Thread-16 :12968 [dir_watcher.py:_on_file_modified():289] file/dir modified: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_110945-smx8muh1\files\output.log
2023-07-21 11:10:11,246 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: poll_exit
2023-07-21 11:10:12,030 INFO    SenderThread:12968 [sender.py:send_artifact():1450] sent artifact job-https___github.com_sohamtalukdar_Automated-renal-compartment-segmentation-of-the-kidneys.git_main.py - {'id': 'QXJ0aWZhY3Q6NTE4NTMxODIy', 'digest': '9849f4bbd6080ddbda59e1865b004050', 'state': 'COMMITTED', 'aliases': [{'artifactCollectionName': 'job-https___github.com_sohamtalukdar_Automated-renal-compartment-segmentation-of-the-kidneys.git_main.py', 'alias': 'latest'}, {'artifactCollectionName': 'job-https___github.com_sohamtalukdar_Automated-renal-compartment-segmentation-of-the-kidneys.git_main.py', 'alias': 'v1'}], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjg0NjY1Nzg0', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6NTE4NTMxODIy', 'versionIndex': 1}}, 'version': 'v1'}
2023-07-21 11:10:12,030 DEBUG   SenderThread:12968 [sender.py:send_request():396] send_request: defer
2023-07-21 11:10:12,030 INFO    SenderThread:12968 [sender.py:send_request_defer():598] handle sender defer: 9
2023-07-21 11:10:12,030 INFO    SenderThread:12968 [dir_watcher.py:finish():359] shutting down directory watcher
2023-07-21 11:10:12,198 INFO    SenderThread:12968 [dir_watcher.py:finish():389] scan: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_110945-smx8muh1\files
2023-07-21 11:10:12,198 INFO    SenderThread:12968 [dir_watcher.py:finish():403] scan save: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_110945-smx8muh1\files\conda-environment.yaml conda-environment.yaml
2023-07-21 11:10:12,198 INFO    SenderThread:12968 [dir_watcher.py:finish():403] scan save: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_110945-smx8muh1\files\config.yaml config.yaml
2023-07-21 11:10:12,198 INFO    SenderThread:12968 [dir_watcher.py:finish():403] scan save: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_110945-smx8muh1\files\output.log output.log
2023-07-21 11:10:12,198 INFO    SenderThread:12968 [dir_watcher.py:finish():403] scan save: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_110945-smx8muh1\files\requirements.txt requirements.txt
2023-07-21 11:10:12,198 INFO    SenderThread:12968 [dir_watcher.py:finish():403] scan save: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_110945-smx8muh1\files\wandb-metadata.json wandb-metadata.json
2023-07-21 11:10:12,198 INFO    SenderThread:12968 [dir_watcher.py:finish():403] scan save: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_110945-smx8muh1\files\wandb-summary.json wandb-summary.json
2023-07-21 11:10:12,222 INFO    SenderThread:12968 [sender.py:transition_state():602] send defer: 10
2023-07-21 11:10:12,223 DEBUG   SenderThread:12968 [sender.py:send_request():396] send_request: poll_exit
2023-07-21 11:10:12,224 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: defer
2023-07-21 11:10:12,224 INFO    HandlerThread:12968 [handler.py:handle_request_defer():170] handle defer: 10
2023-07-21 11:10:12,225 DEBUG   SenderThread:12968 [sender.py:send_request():396] send_request: defer
2023-07-21 11:10:12,226 INFO    SenderThread:12968 [sender.py:send_request_defer():598] handle sender defer: 10
2023-07-21 11:10:12,226 INFO    SenderThread:12968 [file_pusher.py:finish():159] shutting down file pusher
2023-07-21 11:10:12,260 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: poll_exit
2023-07-21 11:10:12,262 DEBUG   SenderThread:12968 [sender.py:send_request():396] send_request: poll_exit
2023-07-21 11:10:12,954 INFO    wandb-upload_1:12968 [upload_job.py:push():133] Uploaded file C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_110945-smx8muh1\files\config.yaml
2023-07-21 11:10:13,163 INFO    wandb-upload_0:12968 [upload_job.py:push():133] Uploaded file C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_110945-smx8muh1\files\conda-environment.yaml
2023-07-21 11:10:13,229 INFO    wandb-upload_4:12968 [upload_job.py:push():133] Uploaded file C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_110945-smx8muh1\files\wandb-summary.json
2023-07-21 11:10:13,260 INFO    wandb-upload_3:12968 [upload_job.py:push():133] Uploaded file C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_110945-smx8muh1\files\requirements.txt
2023-07-21 11:10:13,277 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: poll_exit
2023-07-21 11:10:13,278 DEBUG   SenderThread:12968 [sender.py:send_request():396] send_request: poll_exit
2023-07-21 11:10:13,427 INFO    wandb-upload_2:12968 [upload_job.py:push():133] Uploaded file C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_110945-smx8muh1\files\output.log
