2023-07-21 08:01:12,989 INFO    StreamThr :11608 [internal.py:wandb_internal():86] W&B internal server running at pid: 11608, started at: 2023-07-21 08:01:12.989566
2023-07-21 08:01:12,989 DEBUG   HandlerThread:11608 [handler.py:handle_request():144] handle_request: status
2023-07-21 08:01:13,005 INFO    WriterThread:11608 [datastore.py:open_for_write():85] open: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_080112-i29xfisp\run-i29xfisp.wandb
2023-07-21 08:01:13,005 DEBUG   SenderThread:11608 [sender.py:send():369] send: header
2023-07-21 08:01:13,048 DEBUG   SenderThread:11608 [sender.py:send():369] send: run
2023-07-21 08:01:13,773 DEBUG   HandlerThread:11608 [handler.py:handle_request():144] handle_request: check_version
2023-07-21 08:01:13,773 INFO    SenderThread:11608 [dir_watcher.py:__init__():211] watching files in: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_080112-i29xfisp\files
2023-07-21 08:01:13,773 INFO    SenderThread:11608 [sender.py:_start_run_threads():1100] run started: i29xfisp with start time 1689906672.989565
2023-07-21 08:01:13,773 DEBUG   SenderThread:11608 [sender.py:send_request():396] send_request: summary_record
2023-07-21 08:01:13,773 INFO    SenderThread:11608 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-07-21 08:01:13,773 DEBUG   SenderThread:11608 [sender.py:send_request():396] send_request: check_version
2023-07-21 08:01:13,989 DEBUG   HandlerThread:11608 [handler.py:handle_request():144] handle_request: run_start
2023-07-21 08:01:14,020 DEBUG   HandlerThread:11608 [system_info.py:__init__():31] System info init
2023-07-21 08:01:14,020 DEBUG   HandlerThread:11608 [system_info.py:__init__():46] System info init done
2023-07-21 08:01:14,020 INFO    HandlerThread:11608 [system_monitor.py:start():181] Starting system monitor
2023-07-21 08:01:14,020 INFO    SystemMonitor:11608 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-07-21 08:01:14,020 INFO    HandlerThread:11608 [system_monitor.py:probe():201] Collecting system info
2023-07-21 08:01:14,020 INFO    SystemMonitor:11608 [interfaces.py:start():190] Started cpu monitoring
2023-07-21 08:01:14,020 INFO    SystemMonitor:11608 [interfaces.py:start():190] Started disk monitoring
2023-07-21 08:01:14,020 INFO    SystemMonitor:11608 [interfaces.py:start():190] Started gpu monitoring
2023-07-21 08:01:14,036 INFO    SystemMonitor:11608 [interfaces.py:start():190] Started memory monitoring
2023-07-21 08:01:14,036 INFO    SystemMonitor:11608 [interfaces.py:start():190] Started network monitoring
2023-07-21 08:01:14,052 DEBUG   HandlerThread:11608 [system_info.py:probe():195] Probing system
2023-07-21 08:01:14,052 DEBUG   HandlerThread:11608 [system_info.py:_probe_git():180] Probing git
2023-07-21 08:01:14,130 DEBUG   HandlerThread:11608 [system_info.py:_probe_git():188] Probing git done
2023-07-21 08:01:14,131 DEBUG   HandlerThread:11608 [system_info.py:probe():240] Probing system done
